cooRowIndexHostPtr[0]=0; cooColIndexHostPtr[0]=0; cooValHostPtr[0]=-615.6962723589505;
cooRowIndexHostPtr[1]=0; cooColIndexHostPtr[1]=1; cooValHostPtr[1]=310.0731361794753;
cooRowIndexHostPtr[2]=0; cooColIndexHostPtr[2]=100; cooValHostPtr[2]=4.0;
cooRowIndexHostPtr[3]=1; cooColIndexHostPtr[3]=0; cooValHostPtr[3]=310.0731361794753;
cooRowIndexHostPtr[4]=1; cooColIndexHostPtr[4]=1; cooValHostPtr[4]=-615.6962723589505;
cooRowIndexHostPtr[5]=1; cooColIndexHostPtr[5]=2; cooValHostPtr[5]=310.0731361794753;
cooRowIndexHostPtr[6]=1; cooColIndexHostPtr[6]=101; cooValHostPtr[6]=4.0;
cooRowIndexHostPtr[7]=2; cooColIndexHostPtr[7]=1; cooValHostPtr[7]=310.0731361794753;
cooRowIndexHostPtr[8]=2; cooColIndexHostPtr[8]=2; cooValHostPtr[8]=-615.6962723589505;
cooRowIndexHostPtr[9]=2; cooColIndexHostPtr[9]=3; cooValHostPtr[9]=310.0731361794753;
cooRowIndexHostPtr[10]=2; cooColIndexHostPtr[10]=102; cooValHostPtr[10]=4.0;
cooRowIndexHostPtr[11]=3; cooColIndexHostPtr[11]=2; cooValHostPtr[11]=310.0731361794753;
cooRowIndexHostPtr[12]=3; cooColIndexHostPtr[12]=3; cooValHostPtr[12]=-615.6962723589505;
cooRowIndexHostPtr[13]=3; cooColIndexHostPtr[13]=4; cooValHostPtr[13]=310.0731361794753;
cooRowIndexHostPtr[14]=3; cooColIndexHostPtr[14]=103; cooValHostPtr[14]=4.0;
cooRowIndexHostPtr[15]=4; cooColIndexHostPtr[15]=3; cooValHostPtr[15]=310.0731361794753;
cooRowIndexHostPtr[16]=4; cooColIndexHostPtr[16]=4; cooValHostPtr[16]=-615.6962723589505;
cooRowIndexHostPtr[17]=4; cooColIndexHostPtr[17]=5; cooValHostPtr[17]=310.0731361794753;
cooRowIndexHostPtr[18]=4; cooColIndexHostPtr[18]=104; cooValHostPtr[18]=4.0;
cooRowIndexHostPtr[19]=5; cooColIndexHostPtr[19]=4; cooValHostPtr[19]=310.0731361794753;
cooRowIndexHostPtr[20]=5; cooColIndexHostPtr[20]=5; cooValHostPtr[20]=-615.6962723589505;
cooRowIndexHostPtr[21]=5; cooColIndexHostPtr[21]=6; cooValHostPtr[21]=310.0731361794753;
cooRowIndexHostPtr[22]=5; cooColIndexHostPtr[22]=105; cooValHostPtr[22]=4.0;
cooRowIndexHostPtr[23]=6; cooColIndexHostPtr[23]=5; cooValHostPtr[23]=310.0731361794753;
cooRowIndexHostPtr[24]=6; cooColIndexHostPtr[24]=6; cooValHostPtr[24]=-615.6962723589505;
cooRowIndexHostPtr[25]=6; cooColIndexHostPtr[25]=7; cooValHostPtr[25]=310.0731361794753;
cooRowIndexHostPtr[26]=6; cooColIndexHostPtr[26]=106; cooValHostPtr[26]=4.0;
cooRowIndexHostPtr[27]=7; cooColIndexHostPtr[27]=6; cooValHostPtr[27]=310.0731361794753;
cooRowIndexHostPtr[28]=7; cooColIndexHostPtr[28]=7; cooValHostPtr[28]=-615.6962723589505;
cooRowIndexHostPtr[29]=7; cooColIndexHostPtr[29]=8; cooValHostPtr[29]=310.0731361794753;
cooRowIndexHostPtr[30]=7; cooColIndexHostPtr[30]=107; cooValHostPtr[30]=4.0;
cooRowIndexHostPtr[31]=8; cooColIndexHostPtr[31]=7; cooValHostPtr[31]=310.0731361794753;
cooRowIndexHostPtr[32]=8; cooColIndexHostPtr[32]=8; cooValHostPtr[32]=-615.6962723589505;
cooRowIndexHostPtr[33]=8; cooColIndexHostPtr[33]=9; cooValHostPtr[33]=310.0731361794753;
cooRowIndexHostPtr[34]=8; cooColIndexHostPtr[34]=108; cooValHostPtr[34]=4.0;
